Date,Open,High,Low,Close,Adj Close,Volume
2020-03-31,432.872803,438.762238,416.186096,432.774658,427.354889,17059457
2020-04-01,431.891235,431.891235,404.799896,413.584930,408.405457,9646905
2020-04-03,424.038666,424.038666,407.940918,416.137024,410.925598,14419445
2020-04-07,425.167480,476.798126,425.167480,461.534698,455.754761,15553539
2020-04-08,465.608215,482.049530,444.651672,453.142242,447.467377,13639333
2020-04-09,462.319946,483.227417,462.319946,479.693756,473.686371,11962829
2020-04-13,481.951355,511.300323,481.951355,502.760681,496.464447,24416550
2020-04-15,524.109863,526.072998,495.742432,501.092010,494.816681,26277115
2020-04-16,490.785492,503.545929,488.184326,491.227203,485.075409,17401120
2020-04-17,501.582794,503.055145,489.018677,493.190338,487.013947,16430317
2020-04-20,498.343597,498.343597,477.926910,481.264252,475.237213,11688508
2020-04-21,475.080353,494.515472,470.319733,491.276276,485.123871,15781695
2020-04-22,506.490631,507.521301,482.982025,492.159698,485.996216,18447565
2020-04-23,492.601410,497.950958,482.000427,486.859222,480.762115,12767355
2020-04-24,485.779480,489.803925,475.522064,485.141479,479.065918,12161869
2020-04-27,488.871429,493.779297,482.049530,484.945160,478.872040,10074370
2020-04-28,488.282501,488.282501,475.178528,476.699951,470.730103,11729091
2020-04-29,481.902283,489.214996,478.074158,486.859222,480.762115,8371711
2020-04-30,493.828369,506.441559,486.073975,504.821960,498.499908,20170888
2020-05-04,493.190338,530.048340,490.687347,522.686584,516.140808,34658164
2020-05-05,528.085205,543.495850,516.355408,518.318542,511.827454,30498970
2020-05-06,521.950378,541.287354,520.281738,535.937744,529.226013,26074684
2020-05-07,535.299744,535.299744,514.784912,518.318542,511.827454,15823732
2020-05-08,530.048340,535.741455,518.563965,520.281738,513.766113,13847608
2020-05-11,523.226440,538.391724,522.293945,526.318359,519.727051,14490804
2020-05-12,523.177368,553.606018,520.723389,549.532532,542.650513,23041211
2020-05-13,557.924988,559.250061,539.176941,545.704407,538.870361,21509772
2020-05-14,540.943787,552.133667,525.238647,529.901123,523.265015,13428330
